11,S-BSM10,623570,625568,1.592707 ,1.598090 ,1.603863 ,1.608983 ,1.610689 ,1.613679 ,1.615730 ,1.617611 ,1.619489 ,1.620015 ,1.620507 ,1.622702 ,1.622799 ,1.625401 ,1.630405 ,1.631029 ,1.635578 ,1.636369 ,1.641329 ,1.649797 ,0,0,0,0.08,0.31,0.57,0.75,0.86,0.929,0.962,0.977,0.986,0.991,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.997,0.990,0.993,0.985,0.971,0.913,0.82
12,S-BSM14,603607,605604,1.573000 ,1.578797 ,1.584908 ,1.590128 ,1.591804 ,1.594671 ,1.596597 ,1.598346 ,1.600079 ,1.600562 ,1.601014 ,1.603023 ,1.603112 ,1.605484 ,1.610024 ,1.610589 ,1.614696 ,1.615409 ,1.619870 ,1.627452 ,0,0,0,0.17,0.45,0.68,0.82,0.906,0.948,0.968,0.980,0.987,0.991,0.994,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.999,0.998,0.998,0.998,0.990,0.995,0.988,0.976,0.919,0.81
13,S-BSM15,623582,626579,1.592358 ,1.597974 ,1.603995 ,1.609268 ,1.610998 ,1.613994 ,1.616030 ,1.617889 ,1.619739 ,1.620257 ,1.620740 ,1.622897 ,1.622992 ,1.625545 ,1.630450 ,1.631062 ,1.635521 ,1.636296 ,1.641162 ,1.649482 ,0,0,0,0,0,0.13,0.44,0.70,0.85,0.926,0.959,0.976,0.985,0.991,0.992,0.994,0.995,0.997,0.998,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.991,0.994,0.987,0.973,0.918,0.81
14,S-BSM16,620603,623601,1.589567 ,1.595450 ,1.601678 ,1.607023 ,1.608745 ,1.611695 ,1.613681 ,1.615486 ,1.617276 ,1.617775 ,1.618242 ,1.620319 ,1.620411 ,1.622865 ,1.627566 ,1.628151 ,1.632410 ,1.633150 ,1.637782 ,1.645670 ,0,0,0,0.01,0.18,0.49,0.72,0.85,0.924,0.959,0.976,0.984,0.989,0.992,0.993,0.994,0.996,0.997,0.999,0.998,0.997,0.998,0.999,0.999,0.999,0.999,0.992,0.995,0.987,0.972,0.911,0.79
15,S-BSM18,639554,641551,1.607787 ,1.613142 ,1.618917 ,1.624110 ,1.625863 ,1.628964 ,1.631105 ,1.633078 ,1.635051 ,1.635605 ,1.636123 ,1.638437 ,1.638539 ,1.641287 ,1.646582 ,1.647243 ,1.652067 ,1.652906 ,1.658177 ,1.667197 ,0,0,0,0.08,0.31,0.57,0.75,0.86,0.929,0.961,0.977,0.985,0.990,0.993,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.993,0.994,0.986,0.973,0.924,0.84
16,S-BSM22,622532,625529,1.591568 ,1.596869 ,1.602603 ,1.607779 ,1.609533 ,1.612641 ,1.614793 ,1.616779 ,1.618770 ,1.619329 ,1.619852 ,1.622193 ,1.622296 ,1.625083 ,1.630474 ,1.631150 ,1.636096 ,1.636960 ,1.642411 ,1.651854 ,0,0,0,0,0,0,0.08,0.37,0.65,0.81,0.901,0.942,0.964,0.981,0.985,0.988,0.991,0.994,0.997,0.995,0.994,0.996,0.998,0.998,0.997,0.998,0.993,0.995,0.990,0.980,0.938,0.87
17,S-BSM25,658509,662506,1.626133 ,1.631451 ,1.637266 ,1.642641 ,1.644504 ,1.647850 ,1.650192 ,1.652366 ,1.654553 ,1.655168 ,1.655744 ,1.658327 ,1.658441 ,1.661522 ,1.667495 ,1.668244 ,1.673732 ,1.674691 ,1.680740 ,1.691207 ,0,0,0,0,0,0.03,0.19,0.48,0.71,0.84,0.910,0.945,0.964,0.980,0.984,0.988,0.991,0.994,0.996,0.995,0.995,0.996,0.997,0.997,0.996,0.997,0.995,0.995,0.989,0.980,0.947,0.87
18,S-BSM28,618498,621495,1.586525 ,1.591726 ,1.597396 ,1.602601 ,1.604393 ,1.607600 ,1.609839 ,1.611916 ,1.614005 ,1.614593 ,1.615144 ,1.617613 ,1.617722 ,1.620671 ,1.626406 ,1.627127 ,1.632424 ,1.633354 ,1.639236 ,1.649533 ,0,0,0,0,0,0,0.02,0.24,0.54,0.74,0.85,0.918,0.950,0.975,0.982,0.987,0.990,0.993,0.997,0.996,0.996,0.997,0.997,0.997,0.996,0.996,0.994,0.995,0.988,0.978,0.944,0.88
19,S-BSM71,649530,651527,1.616566 ,1.622049 ,1.627986 ,1.633359 ,1.635184 ,1.638422 ,1.640665 ,1.642737 ,1.644815 ,1.645399 ,1.645945 ,1.648390 ,1.648498 ,1.651410 ,1.657046 ,1.657752 ,1.662927 ,1.663831 ,1.669537 ,1.679430 ,0,0,0,0,0,0,0.15,0.47,0.72,0.86,0.926,0.958,0.973,0.985,0.988,0.990,0.993,0.995,0.998,0.997,0.996,0.997,0.998,0.998,0.997,0.997,0.993,0.993,0.985,0.972,0.925,0.82
20,S-BSM81,640601,643599,1.603848 ,1.611382 ,1.619168 ,1.625552 ,1.627518 ,1.630785 ,1.632926 ,1.634845 ,1.636728 ,1.637252 ,1.637740 ,1.639904 ,1.639999 ,1.642540 ,1.647381 ,1.647982 ,1.652345 ,1.653102 ,1.657832 ,1.665863 ,0,0.01,0.03,0.10,0.21,0.38,0.56,0.71,0.82,0.89,0.934,0.957,0.970,0.981,0.985,0.989,0.992,0.995,0.995,0.992,0.993,0.995,0.997,0.997,0.996,0.996,0.993,0.994,0.985,0.961,0.87,0.61
