"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 N-SK16,620603.358,0.583,0.782,0.950,0.989,0.998,0.998,0.998,0.997,0.998,0.998,0.996,0.994,0.992,0.992,0.990,0.988,0.982,0.971,0.954,0.941,0.867,0.693,0.414,0.209,0.063,0.010,0.000,0.000,0.000,0.000,1.58919,1.59523,1.60157,1.60799,1.60871,1.61167,1.61548,1.61727,1.61777,1.61824,1.62032,1.62041,1.62286,1.62756,1.62814,1.63312,1.63773,1.64559,1.654030,1.661780,,,
 N-BAK4,569560.305,0.782,0.872,0.959,0.993,0.998,0.999,0.998,0.998,0.998,0.998,0.998,0.996,0.995,0.995,0.993,0.992,0.987,0.976,0.954,0.933,0.787,0.345,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.54044,1.54561,1.55111,1.55688,1.55755,1.56034,1.56400,1.56575,1.56624,1.56670,1.56874,1.56883,1.57125,1.57591,1.57649,1.58149,1.58614,1.59415,,,,,
 N-BAK4HT,569560.305,0.854,0.920,0.979,0.996,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.996,0.994,0.993,0.989,0.979,0.959,0.941,0.812,0.390,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.540440,1.545610,1.551110,1.556880,1.557550,1.560340,1.564000,1.565750,1.566240,1.566700,1.568740,1.568830,1.571250,1.575910,1.576490,1.581490,1.586140,1.594150,,,,,
 LLF1HTi,548459.294,0.744,0.804,0.930,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.993,0.955,0.721,0.231,0.000,0.000,0.000,0.000,0.000,0.000,1.51863,1.52354,1.52886,1.53473,1.53544,1.53848,1.54259,1.54459,1.54515,1.54568,1.54804,1.54815,1.55099,1.55653,1.55723,1.56328,1.56904,1.57920,,,,,
 LLF1,548458.294,0.758,0.821,0.933,0.996,0.998,0.999,0.998,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.995,0.994,0.992,0.982,0.919,0.618,0.240,0.024,0.002,0.000,0.000,0.000,0.000,1.51865,1.52354,1.52884,1.53470,1.53541,1.53845,1.54256,1.54457,1.54513,1.54566,1.54803,1.54814,1.55099,1.55655,1.55725,1.56333,1.56911,1.57932,1.590920,,,,
 N-BK7,517642.251,0.665,0.793,0.933,0.992,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.997,0.997,0.996,0.993,0.991,0.988,0.967,0.905,0.770,0.574,0.292,0.063,0.000,0.000,0.000,0.000,1.48921,1.49495,1.50091,1.50669,1.50731,1.50980,1.51289,1.51432,1.51472,1.51509,1.51673,1.51680,1.51872,1.52238,1.52283,1.52668,1.53024,1.53627,1.542720,1.548620,,,
 N-BK7HT,517642.251,0.752,0.845,0.954,0.995,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.994,0.985,0.948,0.815,0.567,0.221,0.040,0.000,0.000,0.000,0.000,1.48921,1.49495,1.50091,1.50669,1.50731,1.50980,1.51289,1.51432,1.51472,1.51509,1.51673,1.51680,1.51872,1.52238,1.52283,1.52668,1.53024,1.53627,1.542720,1.548620,,,
 N-BK7HTi,517642.251,0.752,0.845,0.954,0.995,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.994,0.985,0.948,0.815,0.567,0.221,0.040,0.000,0.000,0.000,0.000,1.48921,1.49495,1.50091,1.50669,1.50731,1.50980,1.51289,1.51432,1.51472,1.51509,1.51673,1.51680,1.51872,1.52238,1.52283,1.52668,1.53024,1.53627,1.542720,1.548620,,,
 N-BK10,498670.239,0.739,0.872,0.980,0.992,0.998,0.998,0.997,0.997,0.997,0.997,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.994,0.994,0.994,0.991,0.978,0.941,0.872,0.707,0.414,0.123,0.010,0.000,0.000,1.47060,1.47647,1.48252,1.48827,1.48887,1.49127,1.49419,1.49552,1.49589,1.49623,1.49775,1.49782,1.49960,1.50296,1.50337,1.50690,1.51014,1.51561,1.521440,1.526740,1.531510,,
 N-SK2,607567.355,0.815,0.896,0.971,0.995,0.998,0.998,0.998,0.998,0.998,0.998,0.996,0.993,0.993,0.994,0.994,0.994,0.992,0.988,0.976,0.967,0.905,0.752,0.504,0.276,0.102,0.020,0.000,0.000,0.000,0.000,1.57881,1.58378,1.58914,1.59490,1.59558,1.59847,1.60230,1.60414,1.60465,1.60513,1.60729,1.60738,1.60994,1.61486,1.61547,1.62073,1.62562,1.63398,1.643040,,,,
 N-SK2HT,607567.355,0.807,0.890,0.971,0.995,0.998,0.999,0.998,0.998,0.999,0.999,0.998,0.997,0.996,0.997,0.996,0.996,0.994,0.992,0.987,0.983,0.955,0.869,0.654,0.385,0.130,0.010,0.000,0.000,0.000,0.000,1.57881,1.58378,1.58914,1.59490,1.59558,1.59847,1.60230,1.60414,1.60465,1.60513,1.60729,1.60738,1.60994,1.61486,1.61547,1.62073,1.62562,1.63398,1.643040,,,,
 N-SK5,589613.330,0.680,0.840,0.963,0.992,0.999,0.998,0.998,0.997,0.998,0.998,0.998,0.996,0.995,0.994,0.993,0.992,0.988,0.984,0.976,0.971,0.920,0.800,0.590,0.400,0.210,0.090,0.030,0.000,0.000,0.000,1.55966,1.56539,1.57140,1.57747,1.57815,1.58094,1.58451,1.58619,1.58666,1.58710,1.58904,1.58913,1.59142,1.59581,1.59635,1.60100,1.60530,1.61260,1.620430,1.627590,,,
 N-SSK5,658509.371,0.727,0.847,0.963,0.992,0.996,0.997,0.997,0.997,0.997,0.996,0.993,0.987,0.982,0.976,0.963,0.959,0.941,0.896,0.804,0.727,0.336,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.62581,1.63128,1.63720,1.64371,1.64450,1.64785,1.65237,1.65455,1.65517,1.65574,1.65833,1.65844,1.66152,1.66749,1.66824,1.67471,1.68079,1.69139,,,,,
 N-BASF64,704394.320,0.727,0.852,0.959,0.988,0.994,0.988,0.982,0.979,0.979,0.980,0.976,0.967,0.959,0.950,0.933,0.924,0.891,0.821,0.672,0.546,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.66373,1.66988,1.67667,1.68453,1.68551,1.68982,1.69578,1.69872,1.69955,1.70033,1.70384,1.70400,1.70824,1.71659,1.71765,1.72690,1.73581,1.75184,,,,,
 N-PSK3,552635.291,0.648,0.809,0.949,0.991,0.999,0.998,0.997,0.997,0.997,0.997,0.996,0.995,0.994,0.994,0.995,0.994,0.993,0.991,0.988,0.985,0.967,0.915,0.770,0.583,0.325,0.123,0.026,0.000,0.000,0.000,1.52375,1.52954,1.53558,1.54154,1.54218,1.54482,1.54811,1.54965,1.55008,1.55048,1.55224,1.55232,1.55440,1.55835,1.55885,1.56302,1.56688,1.57342,1.580410,1.586790,,,
 N-BALF5,547536.261,0.618,0.758,0.919,0.989,0.996,0.998,0.997,0.997,0.998,0.998,0.997,0.995,0.994,0.991,0.986,0.983,0.967,0.937,0.872,0.815,0.439,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,1.53529,1.53598,1.53885,1.54255,1.54430,1.54479,1.54525,1.54730,1.54739,1.54982,1.55451,1.55510,1.56016,1.56491,,,,,,
 N-SK11,564608.308,0.782,0.882,0.967,0.994,0.998,0.998,0.998,0.998,0.998,0.999,0.998,0.996,0.995,0.994,0.992,0.990,0.988,0.985,0.980,0.976,0.950,0.872,0.700,0.480,0.212,0.058,0.000,0.000,0.000,0.000,1.53598,1.54131,1.54693,1.55266,1.55330,1.55597,1.55939,1.56101,1.56146,1.56188,1.56376,1.56384,1.56605,1.57028,1.57081,1.57530,1.57946,1.58653,1.594140,1.601100,,,
 N-SK4,613586.354,0.686,0.826,0.959,0.991,0.997,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.993,0.993,0.992,0.990,0.984,0.971,0.946,0.928,0.821,0.525,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.58282,1.58835,1.59422,1.60032,1.60102,1.60393,1.60774,1.60954,1.61005,1.61052,1.61262,1.61272,1.61521,1.61999,1.62059,1.62568,1.63042,,,,,,
 LF5HTi,581409.322,0.777,0.830,0.938,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.985,0.891,0.380,0.020,0.000,0.000,0.000,0.000,0.000,0.000,1.54970,1.55448,1.55978,1.56596,1.56674,1.57015,1.57490,1.57724,1.57790,1.57852,1.58132,1.58144,1.58482,1.59145,1.59230,1.59963,1.60665,1.61921,,,,,
 F5,603380.347,0.787,0.842,0.941,0.995,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.996,0.996,0.995,0.994,0.993,0.989,0.984,0.971,0.963,0.896,0.618,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.56934,1.57427,1.57979,1.58636,1.58721,1.59093,1.59616,1.59875,1.59948,1.60017,1.60328,1.60342,1.60718,1.61461,1.61556,1.62381,1.63176,1.64606,1.662760,,,,
 LF5,581409.322, ,0.847,0.946,0.997,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.997,0.997,0.994,0.989,0.984,0.981,0.950,0.799,0.320,0.040,0.000,0.000,0.000,0.000,0.000,0.000,1.54966,1.55445,1.55975,1.56594,1.56672,1.57014,1.57489,1.57723,1.57789,1.57851,1.58132,1.58144,1.58482,1.59146,1.59231,1.59964,1.60668,1.61926,1.633800,,,,
 N-SK14,603606.344,0.679,0.831,0.959,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.994,0.993,0.991,0.990,0.988,0.981,0.971,0.963,0.910,0.770,0.546,0.345,0.160,0.040,0.000,0.000,0.000,0.000,1.57336,1.57903,1.58502,1.59113,1.59182,1.59467,1.59834,1.60008,1.60056,1.60101,1.60302,1.60311,1.60548,1.61003,1.61059,1.61542,1.61988,1.62748,1.635640,,,,
 K7,511604.253,0.650,0.758,0.910,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.993,0.990,0.988,0.976,0.905,0.707,0.398,0.090,0.000,0.000,0.000,0.000,0.000,1.48553,1.49046,1.49565,1.50091,1.50150,1.50394,1.50707,1.50854,1.50895,1.50934,1.51105,1.51112,1.51314,1.51700,1.51748,1.52159,1.52540,1.53189,1.538910,1.545370,,,
 N-K5,522595.259,0.776,0.847,0.946,0.994,0.998,0.998,0.997,0.997,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.995,0.994,0.991,0.985,0.982,0.950,0.831,0.536,0.221,0.058,0.000,0.000,0.000,0.000,0.000,1.49656,1.50146,1.50664,1.51197,1.51257,1.51507,1.51829,1.51982,1.52024,1.52064,1.52241,1.52249,1.52458,1.52860,1.52910,1.53338,1.53734,1.54412,1.551450,1.558210,,,
 F2,620364.360,0.809,0.859,0.949,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.994,0.991,0.985,0.975,0.968,0.905,0.537,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,
 F2HT,620364.360,0.874,0.912,0.968,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.996,0.995,0.993,0.988,0.983,0.927,0.565,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,
 N-BAK1,573576.319,0.806,0.877,0.960,0.994,0.998,0.999,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.993,0.991,0.987,0.971,0.924,0.799,0.609,0.345,0.102,0.014,0.000,0.000,0.000,1.54556,1.55032,1.55543,1.56088,1.56152,1.56421,1.56778,1.56949,1.56997,1.57041,1.57241,1.57250,1.57487,1.57943,1.58000,1.58488,1.58941,1.59716,1.605540,1.613260,,,
 N-SSK8,618498.327,0.733,0.847,0.959,0.992,0.997,0.998,0.996,0.996,0.997,0.997,0.994,0.987,0.982,0.975,0.959,0.950,0.919,0.847,0.727,0.626,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.58594,1.59137,1.59723,1.60360,1.60436,1.60759,1.61192,1.61401,1.61460,1.61515,1.61762,1.61773,1.62068,1.62641,1.62713,1.63335,1.63923,,,,,,
 N-BAK2,540597.286,0.758,0.831,0.937,0.994,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.997,0.997,0.997,0.996,0.996,0.994,0.988,0.963,0.867,0.693,0.398,0.158,0.040,0.000,0.000,0.000,1.51387,1.51871,1.52385,1.52919,1.52980,1.53234,1.53564,1.53721,1.53765,1.53806,1.53988,1.53996,1.54212,1.54625,1.54677,1.55117,1.55525,1.56221,1.569710,1.576600,1.582870,,
 N-LASF45,801350.363,0.805,0.879,0.972,0.995,0.999,0.996,0.995,0.994,0.994,0.993,0.983,0.965,0.946,0.924,0.877,0.857,0.787,0.672,0.476,0.336,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.75487,1.76104,1.76809,1.77689,1.77805,1.78325,1.79066,1.79436,1.79541,1.79640,1.80087,1.80107,1.80650,1.81726,1.81864,1.83068,1.84237,,,,,,
 N-LASF45HT,801350.363,0.805,0.879,0.972,0.995,0.999,0.996,0.995,0.994,0.994,0.993,0.985,0.972,0.958,0.941,0.906,0.886,0.825,0.719,0.528,0.395,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.75487,1.76104,1.76809,1.77689,1.77805,1.78325,1.79066,1.79436,1.79541,1.79640,1.80087,1.80107,1.80650,1.81726,1.81864,1.83068,1.84237,,,,,,
 SF2,648339.386,0.826,0.872,0.950,0.994,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.993,0.990,0.985,0.981,0.967,0.946,0.910,0.877,0.672,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.61003,1.61494,1.62055,1.62766,1.62861,1.63289,1.63902,1.64210,1.64297,1.64379,1.64752,1.64769,1.65222,1.66123,1.66238,1.67249,1.68233,1.70027,,,,,
 SF5,673322.407,0.847,0.887,0.959,0.995,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.993,0.989,0.983,0.980,0.967,0.950,0.915,0.882,0.626,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.63289,1.63785,1.64359,1.65104,1.65206,1.65664,1.66327,1.66661,1.66756,1.66846,1.67252,1.67270,1.67764,1.68750,1.68876,1.69986,1.71069,1.73056,,,,,
 N-BAF52,609466.305,0.686,0.831,0.954,0.990,0.998,0.997,0.996,0.996,0.996,0.996,0.992,0.987,0.981,0.975,0.959,0.950,0.915,0.842,0.672,0.536,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.57475,1.58067,1.58702,1.59381,1.59461,1.59801,1.60254,1.60473,1.60535,1.60593,1.60852,1.60863,1.61173,1.61779,1.61856,1.62521,1.63157,,,,,,
 N-BAF4,606437.289,0.707,0.837,0.954,0.991,0.998,0.998,0.996,0.996,0.997,0.997,0.994,0.988,0.983,0.976,0.959,0.946,0.901,0.804,0.601,0.442,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.57092,1.57685,1.58323,1.59016,1.59099,1.59452,1.59926,1.60157,1.60222,1.60282,1.60556,1.60568,1.60897,1.61542,1.61624,1.62336,1.63022,,,,,,
 LASF35,022291.541,0.787,0.877,0.973,0.995,0.998,0.992,0.990,0.987,0.985,0.977,0.948,0.903,0.852,0.787,0.686,0.634,0.504,0.302,0.100,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.95946,1.96639,1.97472,1.98624,1.98786,1.99531,2.00628,2.01185,2.01343,2.01493,2.02173,2.02204,2.03035,2.04702,2.04916,2.06805,2.08663,,,,,,
 N-FK5,487704.245,0.679,0.831,0.971,0.986,0.999,0.998,0.996,0.996,0.996,0.996,0.996,0.996,0.997,0.997,0.998,0.998,0.998,0.996,0.997,0.997,0.995,0.991,0.980,0.954,0.896,0.758,0.504,0.221,0.060,0.000,1.46181,1.46738,1.47312,1.47855,1.47912,1.48137,1.48410,1.48535,1.48569,1.48601,1.48743,1.48749,1.48914,1.49227,1.49266,1.49593,1.49894,1.50401,1.509390,1.514280,1.518670,1.524150,
 FK5HTi,487705.245,0.683,0.830,0.971,0.986,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.998,0.999,0.998,0.998,0.996,0.992,0.983,0.959,0.896,0.764,0.546,0.302,0.120,1.46180,1.46738,1.47312,1.47855,1.47912,1.48137,1.48409,1.48534,1.48568,1.48600,1.48742,1.48748,1.48913,1.49225,1.49264,1.49591,1.49892,1.50398,1.509350,1.514230,1.518610,1.524090,
 N-LASF9,850322.441,0.814,0.873,0.967,0.994,0.998,0.994,0.992,0.992,0.991,0.989,0.978,0.958,0.933,0.901,0.831,0.799,0.693,0.525,0.270,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.80058,1.80659,1.81364,1.82293,1.82420,1.82997,1.83834,1.84255,1.84376,1.84489,1.85002,1.85025,1.85650,1.86898,1.87058,1.88467,1.89845,,,,,,
 N-LASF9HT,850322.441,0.814,0.873,0.967,0.994,0.998,0.994,0.992,0.992,0.991,0.989,0.978,0.958,0.939,0.915,0.869,0.843,0.766,0.629,0.390,0.246,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.80058,1.80659,1.81364,1.82293,1.82420,1.82997,1.83834,1.84255,1.84376,1.84489,1.85002,1.85025,1.85650,1.86898,1.87058,1.88467,1.89845,,,,,,
 N-LAF7,749348.373,0.679,0.867,0.976,0.996,0.998,0.997,0.995,0.994,0.992,0.988,0.971,0.937,0.901,0.857,0.782,0.752,0.657,0.515,0.302,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70344,1.71021,1.71772,1.72659,1.72773,1.73272,1.73972,1.74320,1.74419,1.74511,1.74931,1.74950,1.75459,1.76472,1.76602,1.77741,1.78854,,,,,,
 N-LASF46A,904313.445,0.556,0.793,0.954,0.991,0.999,0.996,0.994,0.993,0.993,0.991,0.980,0.959,0.937,0.905,0.847,0.815,0.707,0.504,0.181,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.84576,1.85364,1.86255,1.87353,1.87498,1.88143,1.89064,1.89526,1.89657,1.89781,1.90341,1.90366,1.91048,1.92411,1.92586,1.94129,1.95645,,,,,,
 SF1,717295.446,0.842,0.882,0.959,0.994,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.990,0.984,0.971,0.967,0.946,0.910,0.837,0.758,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67352,1.67855,1.68449,1.69258,1.69371,1.69888,1.70647,1.71031,1.71141,1.71245,1.71715,1.71736,1.72310,1.73462,1.73610,1.74916,1.76201,1.78580,,,,,
 N-LASF46B,904313.451,0.556,0.787,0.954,0.991,0.998,0.997,0.996,0.995,0.993,0.990,0.981,0.963,0.946,0.924,0.872,0.847,0.752,0.556,0.275,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.84657,1.85418,1.86283,1.87362,1.87505,1.88146,1.89065,1.89526,1.89657,1.89781,1.90341,1.90366,1.91048,1.92411,1.92586,1.94130,1.95647,,,,,,
 N-PSK53A,618634.357,0.609,0.764,0.915,0.982,0.998,0.998,0.997,0.997,0.998,0.998,0.997,0.994,0.993,0.992,0.988,0.985,0.976,0.959,0.928,0.905,0.776,0.525,0.230,0.061,0.000,0.000,0.000,0.000,0.000,0.000,1.59015,1.59528,1.60073,1.60641,1.60706,1.60979,1.61334,1.61503,1.61550,1.61595,1.61791,1.61800,1.62033,1.62478,1.62534,1.63007,1.63445,1.64190,1.649910,1.657240,1.663900,,
 N-F2,620364.265,0.746,0.837,0.950,0.991,0.998,0.997,0.996,0.996,0.997,0.997,0.994,0.989,0.985,0.980,0.959,0.946,0.891,0.764,0.480,0.276,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.58136,1.58744,1.59410,1.60167,1.60261,1.60667,1.61229,1.61506,1.61584,1.61658,1.61990,1.62005,1.62408,1.63208,1.63310,1.64209,1.65087,,,,,,
 N-BASF2,664360.315,0.857,0.896,0.971,0.994,0.999,0.996,0.994,0.994,0.995,0.994,0.988,0.980,0.971,0.954,0.915,0.891,0.804,0.634,0.325,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.62552,1.63109,1.63734,1.64484,1.64581,1.65007,1.65607,1.65905,1.65990,1.66070,1.66430,1.66446,1.66883,1.67751,1.67862,1.68838,1.69792,,,,,,
 SF4,755276.479,0.847,0.887,0.963,0.996,0.998,0.998,0.998,0.998,0.998,0.998,0.996,0.992,0.987,0.980,0.963,0.954,0.924,0.862,0.727,0.601,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70789,1.71294,1.71904,1.72765,1.72888,1.73456,1.74300,1.74730,1.74853,1.74969,1.75496,1.75520,1.76167,1.77468,1.77636,1.79121,1.80589,1.83330,,,,,
 P-SF8,689313.290,0.727,0.799,0.937,0.991,0.999,0.995,0.994,0.994,0.995,0.994,0.989,0.980,0.971,0.959,0.937,0.924,0.872,0.746,0.468,0.260,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.64480,1.65079,1.65760,1.66598,1.66708,1.67200,1.67901,1.68252,1.68353,1.68447,1.68874,1.68893,1.69414,1.70457,1.70591,1.71778,1.72950,,,,,,
 N-SF2,648338.272,0.852,0.896,0.971,0.994,0.999,0.995,0.994,0.994,0.995,0.994,0.990,0.984,0.979,0.970,0.944,0.928,0.857,0.693,0.325,0.132,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.60661,1.61268,1.61944,1.62738,1.62839,1.63282,1.63902,1.64210,1.64298,1.64380,1.64752,1.64769,1.65222,1.66125,1.66241,1.67265,1.68273,,,,,,
 SF10,728284.428,0.862,0.896,0.967,0.995,0.999,0.998,0.997,0.997,0.998,0.998,0.996,0.991,0.984,0.967,0.910,0.862,0.672,0.360,0.080,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.68218,1.68750,1.69378,1.70227,1.70345,1.70887,1.71681,1.72085,1.72200,1.72309,1.72803,1.72825,1.73430,1.74648,1.74805,1.76198,1.77579,,,,,,
 N-SF8,689313.290,0.746,0.815,0.946,0.988,0.997,0.995,0.993,0.993,0.994,0.993,0.985,0.976,0.965,0.950,0.919,0.901,0.831,0.672,0.345,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.64448,1.65060,1.65753,1.66600,1.66711,1.67203,1.67904,1.68254,1.68354,1.68448,1.68874,1.68894,1.69413,1.70455,1.70589,1.71775,1.72948,,,,,,
 N-SF5,673323.286,0.758,0.831,0.950,0.990,0.998,0.996,0.995,0.995,0.996,0.995,0.990,0.982,0.973,0.963,0.928,0.905,0.826,0.642,0.276,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.62935,1.63554,1.64249,1.65080,1.65188,1.65661,1.66330,1.66664,1.66759,1.66848,1.67253,1.67271,1.67763,1.68750,1.68876,1.69998,1.71106,,,,,,
 SF6,805254.518,0.887,0.910,0.971,0.996,0.999,0.999,0.998,0.998,0.999,0.998,0.996,0.991,0.982,0.967,0.933,0.915,0.847,0.720,0.442,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.75302,1.75813,1.76444,1.77380,1.77517,1.78157,1.79117,1.79609,1.79750,1.79884,1.80491,1.80518,1.81265,1.82775,1.82970,1.84707,1.86436,1.89703,,,,,
 SF6HT,805254.518,0.887,0.910,0.971,0.996,0.999,0.999,0.998,0.998,0.999,0.998,0.996,0.992,0.987,0.977,0.954,0.941,0.891,0.770,0.504,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.75302,1.75813,1.76444,1.77380,1.77517,1.78157,1.79117,1.79609,1.79750,1.79884,1.80491,1.80518,1.81265,1.82775,1.82970,1.84707,1.86436,1.89703,,,,,
 N-SF1,717296.303,0.733,0.804,0.937,0.989,0.998,0.996,0.994,0.995,0.996,0.994,0.987,0.976,0.963,0.946,0.896,0.867,0.770,0.574,0.252,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67021,1.67641,1.68350,1.69240,1.69358,1.69889,1.70651,1.71035,1.71144,1.71247,1.71715,1.71736,1.72308,1.73457,1.73605,1.74919,1.76224,,,,,,
 SF56A,785261.492,0.867,0.896,0.967,0.996,0.999,0.998,0.997,0.998,0.998,0.998,0.996,0.990,0.980,0.959,0.896,0.857,0.700,0.398,0.120,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.73406,1.73925,1.74559,1.75473,1.75606,1.76220,1.77136,1.77605,1.77740,1.77866,1.78444,1.78470,1.79180,1.80615,1.80800,1.82449,1.84092,,,,,,
 P-SF69,723292.293,0.804,0.857,0.954,0.993,0.999,0.998,0.997,0.997,0.998,0.997,0.993,0.985,0.976,0.963,0.933,0.915,0.847,0.686,0.364,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67440,1.68073,1.68797,1.69705,1.69826,1.70367,1.71144,1.71535,1.71647,1.71752,1.72229,1.72250,1.72833,1.74007,1.74158,1.75502,1.76840,,,,,,
