"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 N-LAK8,713538.375,0.398,0.707,0.950,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.995,0.992,0.988,0.981,0.977,0.965,0.946,0.905,0.877,0.739,0.509,0.276,0.137,0.044,0.010,0.000,0.000,0.000,0.000,1.67294,1.68075,1.68890,1.69710,1.69802,1.70181,1.70668,1.70897,1.70962,1.71022,1.71289,1.71300,1.71616,1.72222,1.72297,1.72944,1.73545,1.74573,1.756870,,,,
 N-LASF41,835431.485,0.480,0.764,0.950,0.993,0.998,0.998,0.998,0.997,0.998,0.997,0.994,0.985,0.976,0.967,0.954,0.948,0.928,0.891,0.831,0.787,0.592,0.292,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.78859,1.79608,1.80423,1.81338,1.81450,1.81936,1.82599,1.82923,1.83014,1.83100,1.83484,1.83501,1.83961,1.84859,1.84972,1.85949,1.86872,1.88486,,,,,
 P-LAF37,755457.399,0.480,0.752,0.946,0.990,0.998,0.998,0.998,0.998,0.998,0.998,0.996,0.993,0.990,0.987,0.982,0.980,0.971,0.959,0.935,0.919,0.837,0.650,0.276,0.040,0.000,0.000,0.000,0.000,0.000,0.000,1.71338,1.72058,1.72830,1.73669,1.73770,1.74198,1.74775,1.75054,1.75132,1.75206,1.75535,1.75550,1.75944,1.76708,1.76804,1.77633,1.78414,,,,,,
 P-LASF51,810409.458,0.525,0.776,0.950,0.992,0.999,0.998,0.997,0.997,0.997,0.997,0.995,0.990,0.985,0.980,0.971,0.967,0.954,0.928,0.877,0.842,0.657,0.250,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.76437,1.77145,1.77923,1.78815,1.78927,1.79413,1.80082,1.80411,1.80504,1.80591,1.80983,1.81000,1.81470,1.82390,1.82506,1.83512,1.84467,1.86148,1.880430,,,,
 N-LAK14,697554.363,0.382,0.672,0.933,0.984,0.998,0.998,0.998,0.997,0.997,0.998,0.997,0.994,0.991,0.988,0.984,0.981,0.971,0.959,0.933,0.915,0.821,0.642,0.428,0.239,0.089,0.019,0.000,0.000,0.000,0.000,1.65783,1.66554,1.67357,1.68157,1.68246,1.68612,1.69077,1.69297,1.69358,1.69415,1.69669,1.69680,1.69980,1.70554,1.70626,1.71237,1.71804,1.72772,1.738190,,,,
 N-LAK34,729545.402,0.398,0.672,0.937,0.984,0.998,0.999,0.999,0.998,0.998,0.999,0.998,0.995,0.992,0.989,0.983,0.981,0.976,0.963,0.941,0.924,0.852,0.713,0.525,0.377,0.281,0.168,0.073,0.014,0.000,0.000,1.68925,1.69695,1.70500,1.71315,1.71407,1.71787,1.72277,1.72509,1.72574,1.72634,1.72904,1.72916,1.73235,1.73847,1.73923,1.74575,1.75180,1.76214,1.773310,1.783590,1.792960,,
 P-LASF47,806409.454,0.525,0.776,0.950,0.992,0.999,0.998,0.998,0.998,0.998,0.998,0.995,0.990,0.985,0.980,0.971,0.967,0.954,0.928,0.877,0.842,0.657,0.250,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.76040,1.76755,1.77538,1.78432,1.78544,1.79028,1.79696,1.80023,1.80116,1.80203,1.80593,1.80610,1.81078,1.81994,1.82110,1.83112,1.84064,1.85739,1.876320,,,,
 P-LASF50,809405.454,0.525,0.776,0.950,0.992,0.999,0.998,0.997,0.997,0.997,0.997,0.995,0.990,0.985,0.980,0.971,0.967,0.954,0.928,0.877,0.842,0.657,0.292,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.76261,1.76975,1.77759,1.78657,1.78770,1.79259,1.79934,1.80266,1.80359,1.80447,1.80842,1.80860,1.81335,1.82264,1.82382,1.83399,1.84367,,,,,,
 N-LAK10,720506.369,0.428,0.720,0.950,0.991,0.998,0.999,0.998,0.998,0.997,0.998,0.995,0.991,0.985,0.976,0.963,0.959,0.937,0.901,0.831,0.770,0.442,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67890,1.68670,1.69488,1.70324,1.70419,1.70815,1.71328,1.71572,1.71641,1.71705,1.71990,1.72003,1.72341,1.72995,1.73077,1.73779,1.74438,1.75578,,,,,
 N-LAF33,786441.436,0.473,0.744,0.945,0.990,0.999,0.998,0.998,0.998,0.998,0.998,0.995,0.989,0.983,0.978,0.968,0.963,0.948,0.921,0.874,0.841,0.692,0.382,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.74262,1.74968,1.75732,1.76584,1.76689,1.77138,1.77751,1.78049,1.78134,1.78213,1.78567,1.78582,1.79007,1.79833,1.79937,1.80837,1.81687,1.83175,,,,,
