11|593-670|PCD51|1.57682|1.58170|1.58325|1.58589|1.58764|1.58922|1.59078|1.59121|1.59162|1.59341|1.59349|1.59561|1.59964|1.60014|1.60439|1.60831|1.61494|0.800|0.856|0.910|0.971|0.986|0.997|0.992 |0.992 |0.994 |0.998 |0.998 |0.998 |0.999 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.997 |0.997 |0.996 |0.996 |0.994 |0.990 |0.983 |0.964 |0.936 |0.884 |0.800 |0.690 |0.550 |0.410 |0.300 |0.190
12|517-642|BSC7|1.50123|1.50586|1.50733|1.50980|1.51143|1.51289|1.51432|1.51472|1.51509|1.51673|1.51680|1.51872|1.52237|1.52282|1.52667|1.53022|1.53622|||||||0.989 |0.993 |0.974 |0.994 |0.995 |0.995 |0.996 |0.996 |0.997 |0.997 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.999 |0.998 |0.999 |0.998 |0.997 |0.993 |0.992 |0.989 |0.970 |0.948 |0.906 |0.818 |0.652 |0.396 |0.151 |0.027
13|518-590|E-C3|1.50259|1.50696|1.50839|1.51085|1.51252|1.51404|1.51556|1.51598|1.51638|1.51815|1.51823|1.52033|1.52435|1.52485|1.52913|1.53310|1.53989|||||||0.991|0.991|0.996|0.996|0.997|0.997|0.998|0.998|0.998|0.998|0.998|0.999|0.999|0.999|0.999|0.999|0.997|0.995|0.996|0.994|0.993|0.992|0.993|0.993|0.990|0.989|0.991|0.988|0.984|0.991|0.975|0.969|0.932|0.871|0.712|0.422|0.142|0.019
14|569-560|BAC4|1.55136|1.55598|1.55755|1.56033|1.56225|1.56400|1.56575|1.56624|1.56670|1.56874|1.56883|1.57125|1.57590|1.57648|1.58147|1.58611|1.59402|||||||0.995 |0.995 |0.987 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.997 |0.996 |0.995 |0.997 |0.997 |0.995 |0.994 |0.992 |0.991 |0.990 |0.988 |0.985 |0.976 |0.964 |0.938 |0.892 |0.812 |0.684 |0.500 |0.281 |0.097 |0.015 |0.000
15|589-613|BACD5|1.57163|1.57653|1.57814|1.58092|1.58280|1.58450|1.58619|1.58666|1.58710|1.58904|1.58913|1.59142|1.59581|1.59635|1.60100|1.60531|1.61262|||||||0.994 |0.994 |0.980 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.997 |0.996 |0.995 |0.995 |0.994 |0.990 |0.985 |0.976 |0.956 |0.922 |0.856 |0.752 |0.590 |0.387 |0.189 |0.059 |0.000
16|603-607|BACD14|1.58463|1.59011|1.59182|1.59470|1.59662|1.59836|1.60009|1.60057|1.60102|1.60302|1.60311|1.60548|1.61002|1.61059|1.61540|1.61984|1.62742|||||||0.993 |0.992 |0.983 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.997 |0.997 |0.999 |0.996 |0.994 |0.992 |0.991 |0.991 |0.990 |0.988 |0.978 |0.965 |0.941 |0.894 |0.819 |0.693 |0.522 |0.313 |0.128 |0.028 |0.000
17|620-603|BACD16|1.60129|1.60688|1.60865|1.61165|1.61366|1.61547|1.61727|1.61777|1.61824|1.62032|1.62041|1.62286|1.62755|1.62813|1.63310|1.63768|1.64550|||||||0.990|0.990|0.984|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.997|0.996|0.995|0.993|0.989|0.979|0.965|0.939|0.890|0.803|0.677|0.503|0.306|0.142|0.048|0.000|0.000
18|639-555|BACD18|1.61897|1.62410|1.62585|1.62895|1.63110|1.63308|1.63505|1.63561|1.63613|1.63844|1.63854|1.64129|1.64657|1.64723|1.65287|1.65813|1.66715|||||||0.992 |0.992 |0.990 |0.997 |0.997 |0.996 |0.996 |0.996 |0.996 |0.997 |0.997 |0.997 |0.997 |0.998 |0.998 |0.998 |0.999 |0.997 |0.998 |0.999 |0.996 |0.994 |0.992 |0.990 |0.991 |0.987 |0.982 |0.971 |0.949 |0.902 |0.799 |0.621 |0.336 |0.079 |0.000 |0.000 |0.000 |0.000
19|658-509|BACED5|1.63767|1.64271|1.64452|1.64784|1.65018|1.65235|1.65454|1.65516|1.65574|1.65832|1.65844|1.66152|1.66749|1.66824|1.67471|1.68080|1.69138|||||||0.995 |0.995 |0.995 |0.998 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.995 |0.997 |0.999 |0.997 |0.995 |0.992 |0.990 |0.988 |0.979 |0.962 |0.933 |0.872 |0.747 |0.523 |0.238 |0.039 |0.000 |0.000 |0.000 |0.000 |0.000
20|713-539|LAC8|1.68944|1.69598|1.69813|1.70186|1.70438|1.70669|1.70898|1.70962|1.71022|1.71288|1.71300|1.71615|1.72220|1.72295|1.72939|1.73537|1.74559|||||||0.991 |0.990 |0.990 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.993 |0.990 |0.983 |0.974 |0.954 |0.922 |0.877 |0.803 |0.709 |0.590 |0.454 |0.297 |0.148 |0.042
